Distance (um),CnbGFP,ChJup,frame,normalized GFP,normalized RFP
5.86667,26.3351,248.862,15,0.349827246,0.298199744
6.05,25.5,240.75,15,0.338734038,0.288479512
0,25.75,213.861,16,0.34205496,0.256259676
0.18333,29.4245,208.838,16,0.390865871,0.250240849
0.36667,27.6895,221.242,16,0.367818672,0.265103984
0.55,26.854,242.959,16,0.356720151,0.291126454
0.73333,30.3508,233.543,16,0.403170551,0.2798437
0.91667,29.2613,259.022,16,0.388697973,0.310373999
1.1,28.4828,270.278,16,0.378356622,0.323861539
1.28333,24.1065,270.743,16,0.320223219,0.324418727
1.46667,25.1955,284.449,16,0.334689155,0.340841989
1.65,23.1235,357.922,16,0.307165354,0.428881263
1.83333,24.4596,410.594,16,0.324913689,0.491995667
2.01667,26.6759,469.056,16,0.354354326,0.562047959
2.2,26.3258,553.639,16,0.349703707,0.663399828
2.38333,26.6731,630.882,16,0.354317132,0.755956518
2.56667,23.7839,724.428,16,0.315937901,0.868048333
2.75,27.2893,754.317,16,0.362502541,0.903862929
2.93333,31.7084,793.63,16,0.421204485,0.950969866
3.11667,31.3874,833.317,16,0.416940421,0.99852495
3.3,35.0748,834.548,16,0.465922692,1
3.48333,29.7654,763.104,16,0.39539428,0.914391982
3.66667,32.7409,715.417,16,0.434919893,0.857250871
3.85,25.0358,582.255,16,0.33256775,0.697689048
4.03333,23.8056,494.611,16,0.316226157,0.592669325
4.21667,32.6903,433.509,16,0.434247738,0.519453644
4.4,27.0317,440.809,16,0.359080663,0.528200894
4.58333,28.6837,395.023,16,0.381025315,0.473337663
4.76667,29.8007,326.782,16,0.395863194,0.391567651
4.95,31.5983,330.711,16,0.419741951,0.396275589
5.13333,27.7509,306.11,16,0.368634291,0.366797356
5.31667,24.7692,294.161,16,0.329026319,0.352479426
5.5,24.7989,282.55,16,0.329420844,0.338566505
5.68333,25.7819,264.798,16,0.34247871,0.317295111
5.86667,27.8762,247.589,16,0.370298737,0.296674367
6.05,23.3333,236.75,16,0.309952272,0.283686499
0,26.52778,196.431,18,0.352386747,0.235374119
0.18333,29.75138,200.702,18,0.395208042,0.240491859
0.36667,26.10897,197.81,18,0.346823405,0.23702651
0.55,22.46947,212.466,18,0.298477424,0.254588112
0.73333,24.5753,221.121,18,0.326450612,0.264958996
0.91667,23.28042,229.763,18,0.30924983,0.275314302
1.1,22.40978,246.811,18,0.29768452,0.295742126
1.28333,24.96706,245.718,18,0.331654629,0.294432435
1.46667,25.33842,256.607,18,0.33658766,0.307480217
1.65,22.30165,271.995,18,0.296248155,0.325918941
1.83333,24.14337,297.309,18,0.320712989,0.356251528
2.01667,25.31482,336.134,18,0.336274165,0.402773717
2.2,25.05865,389.453,18,0.332871282,0.466663391
2.38333,22.02674,457.134,18,0.292596337,0.547762382
2.56667,23.61758,510.61,18,0.313728558,0.611840182
2.75,27.56543,528.795,18,0.366170565,0.63363042
2.93333,25.28788,554.123,18,0.335916302,0.663979783
3.11667,26.74747,564.749,18,0.35530504,0.676712424
3.3,23.31175,535.916,18,0.309666008,0.642163183
3.48333,26.67505,540.38,18,0.354343035,0.647512186
3.66667,25.33896,535.962,18,0.336594833,0.642218303
3.85,25.29591,463.512,18,0.33602297,0.555404842
4.03333,26.15278,412.931,18,0.347405364,0.494795985
4.21667,25.76397,371.876,18,0.342240533,0.445601691
4.4,25.35262,329.266,18,0.336776288,0.394544113
4.58333,26.44238,298.788,18,0.35125232,0.358023745
4.76667,22.36815,276.111,18,0.29713152,0.330850952
4.95,21.88958,257.965,18,0.290774346,0.309107445
5.13333,22.66563,242.503,18,0.301083152,0.290580051
5.31667,26.45305,252.54,18,0.351394057,0.30260692
5.5,29.39428,227.689,18,0.390464438,0.272829124
5.68333,28.39601,217.514,18,0.377203731,0.260636896
5.86667,25.89964,219.731,18,0.344042731,0.263293424
6.05,26.45833,219.708,18,0.351464194,0.263265864
