Distance (um),CnbGFP,ChJup,frame,normalized GFP,normalized RFP
5.5,30.1742,85.549,26,0.377642945,0.419950715
5.68333,31.7545,91.397,26,0.397421071,0.448657909
5.86667,37.8436,93.198,26,0.473628747,0.457498822
6.05,42.5417,90.375,26,0.532427467,0.443641023
0,30.2222,81.222,28,0.378243685,0.398709943
0.18333,32.0738,89.02,28,0.401417247,0.436989475
0.36667,35.2536,90.904,28,0.441213796,0.446237826
0.55,34.8864,86.227,28,0.436618132,0.423278943
0.73333,26.6871,113.146,28,0.334000405,0.555421379
0.91667,28.5735,102.909,28,0.357609504,0.505169062
1.1,33.303,102.937,28,0.416801207,0.505306511
1.28333,32.0612,123.727,28,0.401259552,0.607362355
1.46667,34.1049,137.806,28,0.426837327,0.676474631
1.65,37.5808,155.876,28,0.470339694,0.765178291
1.83333,46.0802,162.696,28,0.576713299,0.798656927
2.01667,48.9321,157.312,28,0.61240604,0.772227458
2.2,52.25,169.932,28,0.65393097,0.834177663
2.38333,55.4279,163.569,28,0.69370374,0.802942389
2.56667,63.9722,174.898,28,0.800639288,0.858555215
2.75,73.8813,203.712,28,0.924655888,1
2.93333,75.9012,195.476,28,0.949935796,0.959570374
3.11667,71.8283,172.375,28,0.89896172,0.846170083
3.3,55.4874,165.028,28,0.694448408,0.810104461
3.48333,56.3415,151.955,28,0.705137832,0.745930529
3.66667,49.4228,136.253,28,0.61854736,0.668851123
3.85,44.2955,127.682,28,0.55437702,0.626777019
4.03333,38.6204,115.451,28,0.48335073,0.566736373
4.21667,36.6807,102.812,28,0.459074559,0.5046929
4.4,31.9848,107.331,28,0.400303374,0.526876178
4.58333,34.7472,110.962,28,0.434875985,0.544700361
4.76667,34.594,103.985,28,0.432958622,0.510451029
4.95,38.1869,93.604,28,0.477925293,0.459491832
5.13333,34.5236,88.17,28,0.432077536,0.432816918
5.31667,29.6734,98.596,28,0.37137522,0.483997015
5.5,32.8182,93.705,28,0.410733729,0.45998763
5.68333,32.3134,96.11,28,0.404415943,0.471793512
5.86667,36.2121,92.07,28,0.453209831,0.451961593
6.05,34.25,86.389,28,0.428653315,0.424074183
0,22.5,58,32,0.281597068,0.284715677
0.18333,30.3013,76.523,32,0.379233655,0.375643065
0.36667,30.8036,77.3283,32,0.385520154,0.379596195
0.55,27.4293,65.5152,32,0.343289354,0.321606975
0.73333,29.9035,59.1577,32,0.374255019,0.2903987
0.91667,32.8664,69.6684,32,0.411336973,0.341994581
1.1,35.5732,86.6263,32,0.445213726,0.425239063
1.28333,29.3033,89.4046,32,0.366743261,0.438877435
1.46667,27.0491,90.7155,32,0.338530989,0.4453125
1.65,36.5227,96.5455,32,0.457097122,0.473931334
1.83333,29.6501,105.1605,32,0.371083611,0.51622143
2.01667,34.7099,97.1173,32,0.434409159,0.476738238
2.2,28.7424,124.6768,32,0.359723359,0.612024819
