Distance (um),CnbGFP,ChJup,frame,normalized GFP,normalized RFP
5.86667,26.7753,86.045,47,0.364939736,0.185567388
6.05,26.5,98.75,47,0.361187475,0.212967396
0,26,174.306,55,0.354372617,0.375913873
0.18333,22.4419,170.318,55,0.305876725,0.367313225
0.36667,22.3123,158.632,55,0.304110313,0.342110825
0.55,24.0379,177.417,55,0.327629751,0.382623154
0.73333,23.7988,195.361,55,0.324370886,0.421321757
0.91667,24.2256,192.429,55,0.330188049,0.414998512
1.1,23.2929,195.821,55,0.317475613,0.422313807
1.28333,20.2736,208.667,55,0.276323411,0.4500179
1.46667,23.1431,227.616,55,0.315433882,0.490883917
1.65,23.5404,244.78,55,0.320848968,0.527900346
1.83333,22.5547,269.976,55,0.307414157,0.582238843
2.01667,21.6481,305.37,55,0.295057456,0.658570671
2.2,21.4091,338.538,55,0.291799954,0.730101836
2.38333,24.7247,380.859,55,0.33699064,0.821372653
2.56667,32.0227,413.94,55,0.436460308,0.892716192
2.75,43.7374,437.298,55,0.596128343,0.943090799
2.93333,52.6835,463.686,55,0.718061146,1
3.11667,57.5547,456.396,55,0.784454218,0.984278154
3.3,45.5076,421.369,55,0.620255666,0.90873781
3.48333,29.7929,395.625,55,0.406068767,0.853217479
3.66667,27.8241,366.214,55,0.379234582,0.789788779
3.85,25.1742,309.409,55,0.343117198,0.667281307
4.03333,22.6111,278.343,55,0.308182873,0.600283381
4.21667,23.5522,262.557,55,0.321009798,0.566238791
4.4,23.9874,230.604,55,0.326941451,0.497327933
4.58333,26.6212,202.475,55,0.362839397,0.436664036
4.76667,27.5261,186.848,55,0.375172927,0.40296235
4.95,28.3737,163.583,55,0.386725474,0.352788309
5.13333,26.8822,152.441,55,0.366396753,0.328759117
5.31667,24.6313,152.631,55,0.335717625,0.329168877
5.5,24.0379,152.462,55,0.327629751,0.328804406
5.68333,23.0025,151.509,55,0.313517543,0.326749136
5.86667,21.5429,149.226,55,0.29362361,0.321825546
6.05,26.25,134.806,55,0.357780046,0.290726914
0,21.3056,164.889,72,0.290389278,0.355604871
0.18333,25.9853,169.059,72,0.354172261,0.364598025
0.36667,27.6806,168.216,72,0.377278718,0.362779985
0.55,23.6515,180.958,72,0.322363229,0.390259788
0.73333,25.4916,159.883,72,0.34744327,0.344808771
0.91667,25.1233,172.322,72,0.342423445,0.371635115
1.1,20.1932,170.302,72,0.275227582,0.367278719
1.28333,24.5198,174.236,72,0.334197912,0.375762909
1.46667,25.1911,178.584,72,0.34334754,0.385139944
1.65,27.8775,198.74,72,0.379962409,0.428609016
1.83333,26.8632,190.096,72,0.366137788,0.40996709
2.01667,26.4722,191.426,72,0.360808569,0.41283541
2.2,27.1553,203.947,72,0.370119028,0.439838598
2.38333,26.0829,224.37,72,0.355502521,0.48388349
2.56667,27.9651,228.585,72,0.381156372,0.492973693
2.75,28.3775,252.837,72,0.386777267,0.545276329
2.93333,20.7508,267.664,72,0.282827512,0.57725271
3.11667,23.8754,251.759,72,0.325414923,0.54295148
3.3,23.3182,254.42,72,0.317820445,0.548690277
3.48333,23.6035,216.648,72,0.321709003,0.467229979
3.66667,22.5488,162.049,72,0.307333741,0.349480036
3.85,25.053,116.326,72,0.341465276,0.250872358
4.03333,22.4444,96.898,72,0.305910799,0.208973314
4.21667,23.883,102.938,72,0.325518508,0.22199937
4.4,24.3561,99.797,72,0.331966727,0.21522539
4.58333,18.3367,94.425,72,0.249924014,0.203639963
4.76667,23.2332,94.939,72,0.316661919,0.204748472
4.95,23.3497,97.878,72,0.318249781,0.211086813
5.13333,23.8923,98.989,72,0.325645265,0.213482831
5.31667,26.1763,101.622,72,0.356775536,0.219161243
5.5,25.7159,86.652,72,0.350500415,0.186876464
5.68333,23.1806,87.692,72,0.315944996,0.189119361
5.86667,23.0076,93.137,72,0.313587055,0.200862221
6.05,23.25,94.625,72,0.316890898,0.20407129
