,index,File Name,Nb #,Genotype,phase,min slice,max slice,Daughter Asl Area,Daughter Asl Mean,Daughter Asl Mode,Daughter Asl Min,Daughter Asl Max,Daughter Asl IntDen,Daughter Asl RawIntDensity,Mother Asl Area,Mother Asl Mean,Mother Asl Mode,Mother Asl Min,Mother Asl Max,Mother Asl IntDen,Mother Asl RawIntDensity,Daughter Cnb Area,Daughter Cnb Mean,Daughter Cnb Mode,Daughter Cnb Min,Daughter Cnb Max,Daughter Cnb IntDen,Daughter Cnb RawIntDensity,Mother Cnb Area,Mother Cnb Mean,Mother Cnb Mode,Mother Cnb Min,Mother Cnb Max,Mother Cnb IntDen,Mother Cnb RawIntDensity,Daughter Asl Area background,Daughter Asl Mean background,Daughter Asl Mode background,Daughter Asl Min background,Daughter Asl Max background,Daughter Asl IntDen background,Daughter Asl RawIntDensity background,Mother Asl Area background,Mother Asl Mean background,Mother Asl Mode background,Mother Asl Min background,Mother Asl Max background,Mother Asl IntDen background,Mother Asl RawIntDensity background,Daughter Cnb Area background,Daughter Cnb Mean background,Daughter Cnb Mode background,Daughter Cnb Min background,Daughter Cnb Max background,Daughter Cnb IntDen background,Daughter Cnb RawIntDensity background,Mother Cnb Area background,Mother Cnb Mean background,Mother Cnb Mode background,Mother Cnb Min background,Mother Cnb Max background,Mother Cnb IntDen background,Mother Cnb RawIntDensity background,Sub D/M Cnb ratio,Adjusted Cnb D/M Ratio,Adjusted Asl D/M Ratio,Adjusted Daughter Asl RawIntDensity,Adjusted Daughter Cnb RawIntDensity,Adjusted Mother Cnb RawIntDensity,Adjusted Cnb D/M Ratio - Log10,Original Cnb D/M Ratio - Log10,Daughter Asl IntDensity,Daughter Asl RawIntDen,Mother Asl IntDensity,Mother Asl RawIntDen,Daughter Area,Mother Area,Daughter Cnb IntDensity,Daughter Cnb RawIntDen,Mother Cnb IntDensity,Mother Cnb RawIntDen,Integrated Density - Asl D/M,Integrated Density - Cnb D/M,Daughter Asl/Area,Mother Asl/Area,"Asl D/M, Area Adjusted",Daughter Cnb/Area,Mother Cnb/Area,"Cnb D/M, Area Adjusted",average Cnb IntDen background,Daughter Cnb IntDen / background,Mother Cnb IntDen / background,enriichment?,d/m,Daughter Cnb IntDen - background,Mother Cnb IntDen - background,enrichment?
64,78,PP4KO_female_slide2_MTs568_Cnb488_Asl647_1515_007_SIR_ALX_Nb4_interphase,Nb4,WT,interphase,1.0,92.0,0.173,404466.489,388878.937,238991.266,526416.312,69891.809,43682380.797,0.173,376532.745,350102.111,165950.547,577678.062,65064.858,40665536.453,0.173,30680.112,25861.368,13653.268,76790.109,5301.523,3313452.062,0.173,23247.809,20854.899,11355.936,37932.27,4017.221,2510763.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7577485073028347,0.9309368150509052,,3313452.062,2510763.354,-0.1204749104810006,0.1204749104810007,65064.858,40665536.453,69891.809,43682380.797,0.173,0.173,4017.221,4017.221,5301.523,3313452.062,0.9309368140692996,0.7577484809553783,235060904.3526012,252499310.96531796,0.9309368150509052,23220.93063583815,19152902.09248555,0.0012123975011049,,,,,,,,
65,79,PP4KO_female_slide2_MTs568_Cnb488_Asl647_1515_007_SIR_ALX_Nb5_interphase,Nb5,WT,interphase,1.0,62.0,0.128,300559.363,178941.958,178372.078,470150.469,38471.598,24044749.031,0.11,303457.589,212610.665,196816.516,457674.719,33501.718,20938573.656,0.128,29130.977,10744.955,10649.677,59432.203,3728.765,2330478.146,0.11,19071.491,12620.401,7302.044,32750.631,2105.493,1315932.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5646621914299642,0.8708168934932394,,2330478.146,1315932.897,-0.2482112907172534,0.2482112907172535,33501.718,20938573.656,38471.598,24044749.031,0.11,0.128,2105.493,2105.493,3728.765,2330478.146,0.8708169075794565,0.5646622943521514,190350669.6,187849601.8046875,1.0133142033375877,19140.84545454545,18206860.515625,0.0010512985167387,,,,,,,,
66,80,PP4KO_female_slide2_MTs568_Cnb488_Asl647_1515_008_SIR_ALX_Nb1_prophase,Nb1,WT,prophase,1.0,54.0,0.211,225184.371,208342.078,96203.828,317882.531,47558.939,29724336.93,0.147,269547.812,243842.359,148034.859,382740.312,39677.438,24798398.734,0.211,22625.026,16888.794,7347.297,74268.477,4778.405,2986503.371,0.147,14228.183,17876.036,6900.019,22296.514,2094.388,1308992.81,0.179,88255.106,89630.009,55993.5,120015.406,15815.315,9884571.863,0.179,88255.106,89630.009,55993.5,120015.406,15815.315,9884571.863,0.179,14525.943,11367.932,8302.637,28684.857,2603.049,1626905.587,0.179,14525.943,11367.932,8302.637,28684.857,2603.049,1626905.587,,0.4383028067909721,0.8342792908181451,,2986503.371,1308992.81,-0.35822574821456,0.3582257482145599,39677.438,24798398.734,47558.939,29724336.93,0.147,0.211,2094.388,2094.388,4778.405,2986503.371,0.8342792929001214,0.4383027390939026,168696590.0272109,140873634.7393365,1.1975029276369291,14247.537414965987,14154044.412322275,0.0010066053913581,2603.049,,,,0.5610952755155747,2175.3559999999998,-508.66100000000006,Mother
67,81,PP4KO_female_slide2_MTs568_Cnb488_Asl647_1515_008_SIR_ALX_Nb2_interphase,Nb2,WT,interphase,1.0,30.0,0.154,347564.582,290107.534,139305.078,505233.312,53385.92,33366199.875,0.126,448652.394,428598.252,234695.172,679889.688,56709.663,35443539.141,0.154,29842.214,16074.179,9626.124,90148.172,4583.764,2864852.511,0.126,15114.634,10761.191,3751.783,27837.801,1910.49,1194056.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.399261289464805,0.9413901851692626,33366199.875,2864852.511,,0.3800775470063826,0.3800775470063826,53385.92,33366199.875,56709.663,35443539.141,0.154,0.126,4583.764,4583.764,1910.49,1194056.072,0.941390182480894,2.3992609225905395,216663635.55194804,281297929.69047624,0.7702283333203057,29764.7012987013,9476635.49206349,0.0031408511305123,,,,,,,,
68,83,PP4KO_male_slide1_MTs405_Cnb488_Asl568_003_SIR_ALX_Nb1_anaphase,Nb1,PP4KO,anaphase,1.0,40.0,0.133,52128.612,61134.73,23695.863,101935.453,6922.68,4326674.82,0.133,62360.013,73653.238,21996.695,96920.633,8281.41,5175881.055,0.133,62709.444,81235.216,26859.525,123864.242,8327.814,5204883.842,0.133,60419.18,41120.694,28357.205,107091.016,8023.667,5014791.924,0.147,18345.415,16263.126,10581.304,28001.021,2700.445,1687778.193,0.147,18345.415,16263.126,10581.304,28001.021,2700.445,1687778.193,0.147,71376.885,55707.169,5168.315,153030.562,10506.677,6566673.396,0.147,71376.885,55707.169,5168.315,153030.562,10506.677,6566673.396,,1.0379062423488103,0.8359301100670291,4326674.82,5204883.842,,0.0161581239656079,0.0161581239656079,6922.68,4326674.82,8281.41,5175881.055,0.133,0.133,8327.814,8327.814,8023.667,5014791.924,0.8359301133502629,1.0379062341445626,32531389.62406015,38916398.90977443,0.8359301100670291,62615.142857142855,37705202.43609022,0.0016606499584049,10506.677,,,,0.8913065973229153,-2178.8629999999994,-2483.0099999999993,Symmetric
69,84,PP4KO_male_slide1_MTs405_Cnb488_Asl568_003_SIR_ALX_Nb3_prophase,Nb3,PP4KO,prophase,9.0,64.0,0.261,68742.026,62503.859,26085.701,126875.414,17927.921,11204950.318,0.158,82112.52,89099.016,39434.277,120675.0,13006.623,8129139.484,0.261,68437.349,32884.932,21332.297,158889.25,17848.461,11155287.812,0.158,57635.126,14999.72,5625.737,128689.305,9129.404,5705877.435,0.242,20778.338,20905.161,11643.166,30687.91,5020.046,3137529.057,0.242,20778.338,20905.161,11643.166,30687.91,5020.046,3137529.057,0.242,58284.808,39725.305,11625.189,121451.594,14081.61,8801006.011,0.242,58284.808,39725.305,11625.189,121451.594,14081.61,8801006.011,,0.5114953133582134,0.7254953617189256,,11155287.812,5705877.435,-0.291158341212801,0.291158341212801,13006.623,8129139.484,17927.921,11204950.318,0.158,0.261,9129.404,9129.404,17848.461,11155287.812,0.7254953321135229,0.5114953048332851,51450249.898734175,42930844.1302682,1.198444869674934,57781.037974683546,42740566.32950192,0.0013519015524789,14081.61,,,,0.8126223487840213,3766.8509999999987,-4952.206,Symmetric
70,86,PP4KO_male_slide1_MTs405_Cnb488_Asl568_005_SIR_ALX_Nb2_prophase,Nb2,PP4KO,prophase,1.0,28.0,0.122,29133.908,17037.392,9202.889,53282.73,3542.683,2214176.981,0.182,30793.305,25047.245,5884.146,53282.73,5616.699,3510436.809,0.122,31212.358,30047.545,3570.823,57579.117,3795.423,2372139.246,0.182,33356.006,10675.662,6604.751,97226.758,6084.136,3802584.708,0.155,7688.84,5519.889,2806.674,13096.793,1193.308,745817.52,0.155,7688.84,5519.889,2806.674,13096.793,1193.308,745817.52,0.155,31381.243,29575.995,6611.985,52008.02,4870.369,3043980.609,0.155,31381.243,29575.995,6611.985,52008.02,4870.369,3043980.609,,,0.6307411588561657,2214176.981,2372139.246,,,,3542.683,2214176.981,5616.699,3510436.809,0.122,0.182,3795.423,3795.423,6084.136,3802584.708,0.6307411168018796,0.6238228402520916,18148991.647540987,19288114.335164838,0.9409417287854276,31110.02459016393,20893322.57142857,0.0014889936477937,4870.369,,,,0.8245180696158008,-1074.946,1213.7670000000007,Symmetric
71,87,PP4KO_male_slide1_MTs405_Cnb488_Asl568_007_SIR_ALX_Nb2_telophase,Nb2,PP4KO,telophase,1.0,30.0,0.098,72558.962,61501.151,44358.309,124882.484,7081.755,4426096.688,0.138,79692.919,45258.531,30203.346,125366.984,10965.746,6853591.006,0.098,49080.068,63480.883,3026.051,98265.664,4790.215,2993884.15,0.138,44259.831,62907.289,8510.146,80107.414,6090.153,3806345.434,0.13,18550.091,19413.874,9628.29,26384.875,2404.092,1502557.39,0.13,18550.091,19413.874,9628.29,26384.875,2404.092,1502557.39,0.13,45877.685,21373.657,11660.301,88171.664,5945.748,3716092.504,0.13,45877.685,21373.657,11660.301,88171.664,5945.748,3716092.504,,0.7865508272731297,0.6458069476461549,4426096.688,2993884.15,,-0.1042732078264299,-0.1042732078264299,7081.755,4426096.688,10965.746,6853591.006,0.098,0.138,4790.215,4790.215,6090.153,3806345.434,0.645806951939248,0.7865508469163254,45164251.91836735,49663702.94202898,0.9094016201547896,48879.74489795919,27582213.28985507,0.001772147303202,5945.748,,,,39.27011985595681,-1155.5329999999994,144.40500000000065,None
72,88,PP4KO_male_slide1_MTs405_Cnb488_Asl568_008_SIR_ALX_Nb1_telophase,Nb1,PP4KO,telophase,1.0,25.0,0.17,93410.464,81302.375,40484.973,143433.297,15842.415,9901509.199,0.168,108142.369,115054.592,60869.836,162491.062,18167.918,11354948.73,0.17,64082.581,34778.47,3253.567,184610.312,10868.406,6792753.628,0.168,56184.847,46730.295,10493.808,107630.359,9439.054,5899408.892,0.166,19382.696,17482.646,13105.565,30751.748,3225.281,2015800.417,0.166,19382.696,17482.646,13105.565,30751.748,3225.281,2015800.417,0.166,57557.527,44064.292,21079.781,112305.125,9577.573,5985982.859,0.166,57557.527,44064.292,21079.781,112305.125,9577.573,5985982.859,,1.1514295334251938,0.8719994633564496,9901509.199,6792753.628,,0.0612373646354431,0.0612373646354431,15842.415,9901509.199,18167.918,11354948.73,0.17,0.168,10868.406,10868.406,9439.054,5899408.892,0.8719994773204062,1.1514295818203817,58244171.75882352,67588980.53571428,0.8617406461404914,63931.8,35115529.11904762,0.001820613318491,9577.573,,,,1.1017248822261019,1290.8330000000005,-138.51900000000023,Daughter
73,89,PP4KO_male_slide1_MTs405_Cnb488_Asl568_008_SIR_ALX_Nb4_prophase,Nb4,PP4KO,prophase,1.0,55.0,0.176,86593.898,81832.414,36282.676,133862.031,15240.526,9525328.75,0.163,74245.576,94176.465,28188.797,124444.312,12116.878,7573048.707,0.176,82807.966,35122.407,16323.966,197924.0,14574.202,9108876.21,0.163,70259.358,37836.799,11956.095,143153.328,11466.327,7166454.511,0.16,26447.44,22856.911,11026.958,39732.816,4231.59,2644744.004,0.16,26447.44,22856.911,11026.958,39732.816,4231.59,2644744.004,0.16,70929.269,34604.596,20071.387,142055.047,11348.683,7092926.904,0.16,70929.269,34604.596,20071.387,142055.047,11348.683,7092926.904,,0.7867550667921526,0.7950432899231956,,9108876.21,7166454.511,-0.1041604514998553,0.1041604514998553,12116.878,7573048.707,15240.526,9525328.75,0.163,0.176,11466.327,11466.327,14574.202,9108876.21,0.7950432944374755,0.7867550484067669,46460421.51533742,54121186.07954546,0.8584516504692172,70345.56441717791,51754978.4659091,0.0013592038196579,11348.683,,,,0.8020434662563344,3225.5189999999984,117.64399999999841,Symmetric
