,control variable,experimental variable,phase,marker,test,y-value,control n,experimental n,control mean,experimental mean,control stdev,experimental stdev,test statistic,degrees of freedom,critical value,p-value,significance
0,WT,PP4KO,,,Unpaired Student's T-test,GFP width,15,7,1.9205333186098295,0.8114087987944799,0.5321053411054094,0.6007996992361255,4.1789389661504615,20,1.7247182429207857,0.0004629638967290628,***
1,WT,PP4KO,,,Unpaired Student's T-test,RFP width,15,7,0.7159463640541586,0.6759169674583756,0.12043429787596363,0.08662680876515365,0.8864851078870487,20,1.7247182429207857,0.38589185055426745,ns
