,control variable,experimental variable,phase,test,y-value,control n,experimental n,control mean,experimental mean,control stdev,experimental stdev,test statistic,degrees of freedom,critical value,p-value,significance
0,WT,"yTubulin37C[3], 2X MTOC",interphase,Unpaired Student's T-test,AC/Cyto,10,20,3.3469642214122017,2.8909010587786264,0.7641574754872862,0.5577035172532927,1.8647809892794713,28,N/A,7.27256e-02,ns
1,WT,"yTubulin37C[3], 2X MTOC",interphase,Mann-Whitney U Test,BC/Cyto,10,20,1.2998190418599613,2.763023523290698,0.36483536618364387,0.6323000837093853,4.0,N/A,N/A,2.64676e-05,****
2,WT,"yTubulin37C[3], 2X MTOC",interphase,Mann-Whitney U Test,AC/BC,10,20,2.634934580110863,1.0797284114215708,0.48468467378554836,0.25510289935962405,200.0,N/A,N/A,1.20094e-05,****
3,WT,"yTubulin37C[3], 0X MTOC",interphase,Mann-Whitney U Test,AC/Cyto,10,13,3.3469642214122017,1.3240875852182181,0.7641574754872862,0.28862825242440604,130.0,N/A,N/A,6.33103e-05,****
4,WT,"yTubulin37C[3], 0X MTOC",interphase,Mann-Whitney U Test,BC/Cyto,10,13,1.2998190418599613,1.1592592947581852,0.36483536618364387,0.3182802289433281,82.0,N/A,N/A,3.04975e-01,ns
5,WT,"yTubulin37C[3], 0X MTOC",interphase,Mann-Whitney U Test,AC/BC,10,13,2.634934580110863,1.181730998281292,0.48468467378554836,0.2859712156319418,130.0,N/A,N/A,6.33103e-05,****
6,WT,yTubulin37C[S131A],interphase,Mann-Whitney U Test,AC/Cyto,10,13,3.3469642214122017,2.5034681978912445,0.7641574754872862,0.4013269479107094,112.5,N/A,N/A,3.55077e-03,**
7,WT,yTubulin37C[S131A],interphase,Mann-Whitney U Test,BC/Cyto,10,13,1.2998190418599613,2.348180517859902,0.36483536618364387,0.5978424448970838,8.0,N/A,N/A,4.56869e-04,***
8,WT,yTubulin37C[S131A],interphase,Mann-Whitney U Test,AC/BC,10,13,2.634934580110863,1.0937696725435182,0.48468467378554836,0.1545025199070341,130.0,N/A,N/A,6.33103e-05,****
