,control variable,experimental variable,phase,test,y-value,control n,experimental n,control mean,experimental mean,control stdev,experimental stdev,test statistic,degrees of freedom,critical value,p-value,significance
0,WT,PP4KO,interphase,Unpaired Student's T-test,AC/Cyto Ratio,29,37,2.330231773655172,1.5279779973216214,0.6128424502121689,0.3541119338482607,6.276049590402965,64,1.669013024840352,3.397755787837298e-08,****
1,WT,PP4KO,prometaphase,Unpaired Student's T-test,AC/Cyto Ratio,28,37,2.9370479345,2.8010724831081077,0.6563280383710974,0.6030605776243332,0.8563310277035574,63,1.6694022215079607,0.3950601786811654,ns
2,WT,PP4KO,interphase,Unpaired Student's T-test,AC/BC Ratio,14,18,1.7394401806428574,1.2082361596666664,0.3093944106726493,0.26779739280644915,5.106389335559402,30,1.6972608943617378,1.7250793223455574e-05,****
3,WT,PP4KO,prometaphase,Unpaired Student's T-test,AC/BC Ratio,13,18,1.0231471080769232,1.1083940636111111,0.29539616456438633,0.22305771326172708,-0.8757048557717264,29,1.6991270265334972,0.3883863901955178,ns
4,"PP4KO, 5X-PP4 control","PP4KO, 5X-PP4::GFP",interphase,Unpaired Student's T-test,AC/Cyto Ratio,21,8,1.5063835520933133,2.810120037510691,0.3513010491685792,0.48571926497342427,-6.932495335453847,27,1.7032884457221265,1.8898205400574852e-07,****
5,"PP4KO, 10X-PP4-dead control","PP4KO, 10X-PP4-dead::GFP",interphase,Unpaired Student's T-test,AC/Cyto Ratio,13,17,1.5239066211184147,1.478114789096553,0.4393698166680528,0.23955750242818175,0.3391947315633673,28,1.701130934265931,0.7369939461979329,ns
6,"PP4KO, 10X-PP4-dead control","PP4KO, 10X-PP4-dead::GFP, 2X MTOC",interphase,Unpaired Student's T-test,AC/Cyto Ratio,13,7,1.5239066211184147,2.5875515059559584,0.4393698166680528,0.6667661032177848,-3.799684561913847,18,1.7340636066175354,0.0013123123720808483,**
7,"PP4KO, 10X-PP4-dead::GFP, control 18C","PP4KO, 10X-PP4-dead::GFP, 18C",interphase,Unpaired Student's T-test,AC/Cyto Ratio,12,12,1.3363667591079984,1.4483608329212567,0.388898137659704,0.2756951058355488,-0.813830846547705,22,1.717144374380242,0.424463241317214,ns
