Distance (um),AC ,),frame,normalized AC RFP,normalized BC RFP
0.36667,85.456,173.844,25,0.123017215,0.214214157
0.55,94.691,174.167,25,0.136311355,0.214612165
0.73333,128.482,177.117,25,0.184954806,0.218247215
0.91667,163.788,190.623,25,0.235779157,0.234889587
1.1,183.231,203.714,25,0.263768108,0.251020587
1.28333,207.979,224.803,25,0.29939381,0.277006887
1.46667,246.316,250.26,25,0.354581404,0.308375527
1.65,274.021,277.225,25,0.394463822,0.341602355
1.83333,317.002,367.471,25,0.456336633,0.452805335
2.01667,384.259,506.937,25,0.553155685,0.624658213
2.2,461.467,607.018,25,0.664299585,0.747980082
2.38333,535.547,645.176,25,0.770940609,0.794999156
2.56667,603.823,679.168,25,0.86922655,0.836884798
2.75,669.643,734.318,25,0.963976985,0.904841764
2.93333,694.667,794,25,1,0.978383154
3.11667,676.571,811.543,25,0.973950108,1
3.3,622.965,772.721,25,0.896782199,0.952162732
3.48333,546.081,703.292,25,0.786104709,0.866610888
3.66667,461.884,623.562,25,0.664899873,0.76836594
3.85,380.297,539.049,25,0.547452233,0.664227281
4.03333,304.21,474.717,25,0.437922055,0.584956065
4.21667,233.129,417.921,25,0.335598207,0.514970864
4.4,205.698,349,25,0.296110223,0.430044988
4.58333,186.11,316.592,25,0.267912539,0.390111183
4.76667,183.413,276.423,25,0.264030104,0.340614114
4.95,185.393,248.445,25,0.26688039,0.306139046
5.13333,174.521,228.773,25,0.251229726,0.281898803
5.31667,192.657,200.55,25,0.277337199,0.247121841
5.5,180.65,198.234,25,0.260052658,0.244268018
5.68333,165.686,182.458,25,0.238511402,0.224828506
5.86667,168.278,184.333,25,0.242242686,0.227138919
0,154.417,162.083,27,0.222289241,0.199722011
0.18333,171.011,178.554,27,0.246176945,0.220017916
0.36667,152.66,151.596,27,0.219759971,0.186799714
0.55,165.608,155.973,27,0.238399118,0.192193143
0.73333,169.804,184.906,27,0.244439422,0.227844982
0.91667,168.062,193.047,27,0.241931746,0.23787649
1.1,183.623,204.546,27,0.264332407,0.252045794
1.28333,194.172,204.202,27,0.2795181,0.25162191
1.46667,213.135,211.156,27,0.306816072,0.260190772
1.65,241.647,232.761,27,0.347860198,0.286812898
1.83333,284.044,276.816,27,0.408892318,0.341098377
2.01667,309.506,344.629,27,0.445545851,0.424658952
2.2,316.102,382.446,27,0.455041048,0.471257838
2.38333,356.112,422.248,27,0.51263699,0.520302683
2.56667,405.879,451.408,27,0.58427851,0.556234235
2.75,424.747,459.012,27,0.611439726,0.565604041
2.93333,437.833,478,27,0.630277529,0.589001445
3.11667,418.862,463.866,27,0.602968041,0.571585239
3.3,375.391,398.577,27,0.540389856,0.491134789
3.48333,353.442,368.247,27,0.508793422,0.453761538
3.66667,283.307,340.969,27,0.407831378,0.420149025
3.85,285.12,272.479,27,0.410441262,0.335754236
4.03333,236.263,237.13,27,0.340109722,0.29219647
4.21667,213.154,197.325,27,0.306843423,0.243147929
4.4,202.188,219.25,27,0.291057442,0.270164366
4.58333,211.571,218.427,27,0.304564633,0.269150248
4.76667,188.952,210.206,27,0.272003708,0.259020163
4.95,184.414,198.252,27,0.265471082,0.244290198
5.13333,200.048,211.682,27,0.287976829,0.26083892
5.31667,204.831,216.344,27,0.294862143,0.266583533
5.5,202.063,227.886,27,0.2908775,0.280805823
5.68333,211.828,221.681,27,0.304934595,0.273159894
5.86667,225.417,219.917,27,0.324496485,0.270986257
