Distance (um),AC ,BC  ,frame,normalized AC RFP,normalized BC RFP
0.55,138.729,248.175,31,0.213083053,0.346457803
0.73333,142.13,250.014,31,0.218306874,0.349025088
0.91667,160.457,262.787,31,0.246456526,0.366856479
1.1,191.296,273.633,31,0.293824187,0.381997736
1.28333,204.16,293.274,31,0.313582856,0.409417007
1.46667,231.469,310.26,31,0.355528557,0.43312984
1.65,258.305,335.815,31,0.396747745,0.468805187
1.83333,333.854,363.1,31,0.512788454,0.506895652
2.01667,421.176,451.308,31,0.646912094,0.630035975
2.2,481.107,518.614,31,0.738964083,0.723996644
2.38333,529.682,599.797,31,0.81357364,0.837329912
2.56667,554.807,706.428,31,0.852164791,0.986189153
2.75,549.659,716.321,31,0.844257637,1
2.93333,603.667,664.889,31,0.927212098,0.928199788
3.11667,589.921,664.99,31,0.906098707,0.928340786
3.3,577.156,668.278,31,0.886492099,0.932930907
3.48333,601.865,606.008,31,0.924444287,0.846000606
3.66667,582.852,507.276,31,0.895240962,0.708168545
3.85,518.258,461.548,31,0.796026763,0.644331243
4.03333,449.946,359.913,31,0.691101841,0.502446529
4.21667,386.497,318.866,31,0.593646322,0.445144007
4.4,352.719,262.576,31,0.541764457,0.366561918
4.58333,319.469,257.922,31,0.490693581,0.360064831
4.76667,301.541,226.932,31,0.463156779,0.316802104
4.95,257.553,215.466,31,0.395592699,0.300795314
5.13333,262.979,221.372,31,0.403926851,0.309040221
5.31667,243.109,243.736,31,0.373407203,0.340260861
5.5,233.135,243.311,31,0.358087476,0.339667551
5.68333,237.871,249.223,31,0.365361812,0.347920834
5.86667,226,233.333,31,0.347128358,0.325738042
0,223.438,219.125,33,0.343193212,0.305903359
0.18333,231.748,212.28,33,0.355957091,0.296347587
0.36667,239.63,227.083,33,0.368063577,0.317012903
0.55,252.53,213.104,33,0.38787754,0.297497909
0.73333,230.621,216.951,33,0.354226057,0.302868407
0.91667,241.11,218.189,33,0.370336807,0.304596682
1.1,257.431,223.933,33,0.395405311,0.312615434
1.28333,269.451,265.86,33,0.413867624,0.371146455
1.46667,254.542,263.37,33,0.390967904,0.36767036
1.65,272.18,258.048,33,0.418059276,0.36024073
1.83333,322.351,294.426,33,0.495120235,0.411025225
2.01667,353.644,352.185,33,0.543185225,0.491658069
2.2,416.178,384.811,33,0.639235335,0.537204689
2.38333,458.12,458.195,33,0.703656828,0.63965038
2.56667,495.426,460.703,33,0.760957583,0.643151604
2.75,502.943,514.675,33,0.772503441,0.718497713
2.93333,489.5,535.167,33,0.751855447,0.747104999
3.11667,497.147,541.364,33,0.763600981,0.755756148
3.3,472.469,501.791,33,0.725696407,0.700511363
3.48333,455.61,459.836,33,0.699801553,0.641941253
3.66667,414.646,419.324,33,0.636882234,0.585385602
